,link,size,filing_date,year,cik
1115,https://www.sec.gov/Archives/edgar/data/1002242/000117494718000871/0001174947-18-000871-index.htm,139 KB,2018-05-29,2018,0001002242
1121,https://www.sec.gov/Archives/edgar/data/819793/000089109218004550/0000891092-18-004550-index.htm,17 KB,2018-05-31,2018,0000819793
1126,https://www.sec.gov/Archives/edgar/data/875657/000143774918011018/0001437749-18-011018-index.htm,56 KB,2018-05-31,2018,0000875657
1132,https://www.sec.gov/Archives/edgar/data/43920/000004392018000010/0000043920-18-000010-index.htm,159 KB,2018-05-30,2018,0000043920
1137,https://www.sec.gov/Archives/edgar/data/890394/000119312518179740/0001193125-18-179740-index.htm,115 KB,2018-05-31,2018,0000890394
1143,https://www.sec.gov/Archives/edgar/data/915358/000091535818000008/0000915358-18-000008-index.htm,486 KB,2018-05-23,2018,0000915358
1154,https://www.sec.gov/Archives/edgar/data/1617898/000110465918037197/0001104659-18-037197-index.htm,21 KB,2018-05-31,2018,0001617898
1159,https://www.sec.gov/Archives/edgar/data/1114483/000111448318000016/0001114483-18-000016-index.htm,378 KB,2018-05-18,2018,0001114483
1165,https://www.sec.gov/Archives/edgar/data/1029744/000102974418000068/0001029744-18-000068-index.htm,41 KB,2018-05-25,2018,0001029744
1175,https://www.sec.gov/Archives/edgar/data/22701/000089710118000516/0000897101-18-000516-index.htm,25 KB,2018-05-21,2018,0000022701
1181,https://www.sec.gov/Archives/edgar/data/1492674/000119312518174180/0001193125-18-174180-index.htm,37 KB,2018-05-25,2018,0001492674
1184,https://www.sec.gov/Archives/edgar/data/1677703/000119312518180810/0001193125-18-180810-index.htm,131 KB,2018-06-01,2018,0001677703
1189,https://www.sec.gov/Archives/edgar/data/920532/000114420418031466/0001144204-18-031466-index.htm,427 KB,2018-05-30,2018,0000920532
1198,https://www.sec.gov/Archives/edgar/data/851310/000085131018000040/0000851310-18-000040-index.htm,82 KB,2018-05-31,2018,0000851310
1204,https://www.sec.gov/Archives/edgar/data/1444380/000156459018014837/0001564590-18-014837-index.htm,150 KB,2018-05-31,2018,0001444380
